	Jan-19	Feb-19	Mar-19	Apr-19	May-19	Jun-19	Jul-19	Aug-19	Sep-19	Oct-19	Nov-19	Dec-19	FY	
Austria	25,257	23,640	31,958	31,951	30,574	32,529	31,428	29,888	21,047	25,138	23,271	22,682	329,363	
Belgium	51,074	49,919	54,872	53,498	51,081	50,044	45,110	47,936	35,715	42,713	34,574	33,467	550,003	
Bulgaria	2,574	3,090	3,616	3,309	3,953	3,673	3,454	3,388	2,837	3,177	3,129	3,219	39,419	
Croatia	3,551	3,547	5,041	8,633	9,149	8,235	6,212	3,417	3,552	4,104	3,475	4,022	62,938	
Czech Republic	19,278	18,847	21,491	22,921	24,059	21,902	21,816	25,026	15,770	19,935	20,163	18,707	249,915	
Denmark	21,282	18,583	26,307	16,180	19,054	20,691	16,696	18,689	15,949	18,378	18,115	15,486	225,410	
Estonia	2,327	1,844	2,338	2,585	2,953	2,531	2,546	2,628	1,778	2,089	2,051	1,915	27,585	
Finland	11,737	8,085	9,282	9,747	10,870	10,537	9,218	10,002	8,447	9,367	8,684	8,212	114,188	
France	155,079	172,438	225,818	188,195	193,948	230,964	172,225	129,257	173,443	188,987	172,731	211,194	2,214,279	
Germany	265,702	268,867	345,523	310,715	332,962	325,231	332,788	313,748	244,622	284,593	299,127	283,380	3,607,258	
Greece	9,210	7,561	9,518	12,303	13,832	13,133	11,839	9,594	5,899	7,276	7,464	6,597	114,226	
Hungary	9,716	11,229	13,394	12,421	14,213	13,575	15,285	15,616	9,655	12,449	14,214	16,139	157,906	
Ireland	32,370	15,069	16,687	8,904	6,320	1,408	24,681	5,088	3,418	2,179	761	224	117,109	
Italy	165,271	178,494	194,302	174,924	197,882	172,313	153,336	89,186	142,532	157,262	151,001	140,448	1,916,951	
Latvia	1,539	1,303	1,618	1,644	1,768	1,612	1,715	1,628	1,283	1,570	1,294	1,259	18,233	
Lithuania	3,144	3,121	3,959	4,444	4,242	4,539	3,555	3,677	3,998	4,099	4,333	3,277	46,388	
Luxembourg	4,205	5,041	5,621	5,622	5,406	5,197	4,790	3,810	3,295	4,874	3,950	3,112	54,923	
Netherlands	47,164	29,780	38,507	32,701	36,601	41,026	33,540	33,724	37,706	33,772	39,092	41,604	445,217	
Poland	45,679	43,548	49,916	46,161	46,965	44,992	49,010	48,035	35,223	46,837	45,128	52,448	553,942	
Portugal	15,684	18,861	24,900	21,121	22,724	25,305	18,436	12,435	14,558	15,649	16,400	17,726	223,799	
Romania1	13,952	12,071	9,813	8,691	13,011	14,082	23,206	23,177	6,046	10,649	13,091	13,773	161,562	
Slovakia	7,096	7,579	9,222	8,894	9,888	9,396	9,443	10,051	4,849	9,436	8,000	7,714	101,568	
Slovenia	5,653	4,927	6,138	5,465	6,025	5,263	4,916	4,135	4,637	5,111	4,426	3,166	59,862	
Spain	93,538	100,693	122,659	119,417	125,623	130,513	116,673	74,426	81,746	93,954	93,155	105,854	1,258,251	
Sweden	20,478	23,146	30,256	30,253	31,919	31,830	23,657	29,477	26,758	29,631	30,502	48,129	356,036	
EUROPEAN UNION	1,032,560	1,031,283	1,262,756	1,140,699	1,215,022	1,220,521	1,135,575	948,038	904,763	1,033,229	1,018,131	1,063,754	13,006,331	
Iceland	847	800	1,074	1,196	2,013	1,358	1,024	803	717	659	641	587	11,719	
Norway	9,004	11,106	18,375	11,255	13,117	15,352	9,178	12,073	11,157	10,479	10,031	11,254	142,381	
Switzerland	21,002	22,358	29,255	28,309	28,208	28,405	25,214	19,526	24,216	26,029	24,226	34,508	311,256	
EFTA	30,853	34,264	48,704	40,760	43,338	45,115	35,416	32,402	36,090	37,167	34,898	46,349	465,356	
United Kingdom	161,013	81,969	458,054	161,064	183,724	223,421	157,198	92,573	343,255	143,251	156,621	148,997	2,311,140	
EU + EFTA + UK	1,224,426	1,147,516	1,769,514	1,342,523	1,442,084	1,489,057	1,328,189	1,073,013	1,284,108	1,213,647	1,209,650	1,259,100	15,782,827	
