	Jan-16	Feb-16	Mar-16	Apr-16	May-16	Jun-16	Jul-16	Aug-16	Sep-16	Oct-16	Nov-16	Dec-16	FY	
Austria	24,019	22,495	31,941	31,102	28,462	33,751	26,882	23,690	29,836	26,273	25,491	25,662	329,604	
Belgium	44,326	49,707	56,423	55,022	48,856	55,272	34,373	38,655	41,748	41,969	39,645	33,523	539,519	
Bulgaria	1,678	1,807	2,395	2,357	2,485	2,618	2,368	2,188	2,356	2,293	2,467	3,204	28,216	
Croatia	2,427	2,583	4,119	4,924	6,090	6,244	3,578	2,365	2,586	2,889	2,826	3,475	44,106	
Czech Republic	17,499	19,300	22,799	23,131	24,335	25,714	18,739	21,251	19,946	21,905	23,161	21,913	259,693	
Denmark	16,412	16,611	19,142	19,853	21,121	23,641	15,697	17,424	18,452	17,076	18,058	19,408	222,895	
Estonia	1,788	1,671	2,085	2,235	2,279	2,022	1,937	1,850	1,959	1,910	1,880	1,381	22,997	
Finland	11,785	9,653	11,625	11,083	10,517	10,753	8,342	9,201	9,645	9,159	9,004	8,145	118,912	
France	138,400	166,728	211,254	182,863	175,831	227,353	132,990	98,211	168,820	155,194	163,161	194,372	2,015,177	
Germany	218,365	250,146	322,913	315,921	286,931	339,563	278,866	245,076	298,002	262,724	276,567	256,533	3,351,607	
Greece	5,700	3,310	6,316	9,735	13,489	8,863	7,034	4,174	4,595	4,995	5,897	4,765	78,873	
Hungary	5,568	6,627	7,502	8,063	8,517	9,696	8,064	7,177	8,225	7,951	9,415	9,750	96,555	
Ireland	39,722	21,573	21,529	10,381	6,499	1,623	29,873	7,297	4,707	2,257	754	434	146,649	
Italy	155,851	173,097	191,409	168,132	188,657	166,232	137,223	72,004	154,393	147,435	146,397	125,062	1,825,892	
Latvia	1,090	1,246	1,548	1,462	1,415	1,937	1,257	1,168	1,530	1,288	1,275	1,141	16,357	
Lithuania	1,561	1,407	1,625	2,036	2,160	1,899	1,651	1,552	1,703	1,740	1,536	1,414	20,284	
Luxembourg	3,477	4,448	5,040	5,233	5,011	5,106	4,141	3,359	3,568	4,275	3,838	3,065	50,561	
Netherlands	40,542	28,096	29,626	27,610	28,791	39,249	31,026	26,846	33,327	29,814	32,082	35,505	382,514	
Poland	31,941	33,795	39,303	34,753	33,154	38,746	31,424	28,467	32,746	32,392	37,412	43,900	418,033	
Portugal	13,940	18,029	26,459	15,978	20,851	23,369	15,632	10,708	13,960	14,933	16,483	16,988	207,330	
Romania1	5,800	5,099	6,572	6,174	6,345	5,462	10,768	12,411	9,361	7,951	9,645	9,331	94,919	
Slovakia	5,473	6,728	7,823	7,279	8,299	8,354	6,826	6,906	7,126	7,511	7,830	8,010	88,165	
Slovenia	5,907	4,797	5,887	5,074	5,466	5,764	4,700	3,601	4,585	4,846	4,784	3,552	58,963	
Spain	76,334	97,649	111,511	100,279	113,671	123,790	107,306	64,089	79,591	83,248	92,653	96,888	1,147,009	
Sweden	21,648	26,869	34,712	33,580	34,475	36,307	24,197	27,316	32,292	31,840	31,801	37,281	372,318	
United Kingdom	169,678	83,395	518,707	189,505	203,585	255,766	178,523	81,640	469,696	180,168	184,101	178,022	2,692,786	
EUROPEAN UNION	1,060,931	1,056,866	1,700,265	1,273,765	1,287,292	1,459,094	1,123,417	818,626	1,454,755	1,104,036	1,148,163	1,142,724	14,629,934	
Iceland	1,213	1,044	1,333	2,260	3,392	2,855	1,611	1,181	1,027	897	954	706	18,473	
Norway	10,991	12,222	13,875	14,116	12,864	13,681	11,040	13,232	13,854	11,932	13,194	13,602	154,603	
Switzerland	20,379	22,571	29,024	28,497	25,855	31,105	25,915	21,735	25,994	23,207	26,152	34,861	315,295	
EFTA	32,583	35,837	44,232	44,873	42,111	47,641	38,566	36,148	40,875	36,036	40,300	49,169	488,371	
EU + EFTA	1,093,514	1,092,703	1,744,497	1,318,638	1,329,403	1,506,735	1,161,983	854,774	1,495,630	1,140,072	1,188,463	1,191,893	15,118,305	
