	Jan-17	Feb-17	Mar-17	Apr-17	May-17	Jun-17	Jul-17	Aug-17	Sep-17	Oct-17	Nov-17	Dec-17	FY	
Austria	26,352	25,311	36,830	30,201	32,426	35,441	27,731	26,058	29,528	28,244	29,547	25,651	353,320	
Belgium	51,701	51,942	61,066	51,132	51,342	55,119	36,627	35,517	40,895	43,500	39,645	28,072	546,558	
Bulgaria	1,877	2,146	3,020	2,669	2,651	3,383	2,606	2,525	2,719	3,174	3,305	3,190	33,265	
Croatia	2,833	2,623	5,420	6,280	8,124	6,871	4,125	2,433	2,796	3,623	3,496	2,145	50,769	
Czech Republic	20,818	20,455	26,786	22,749	27,009	26,634	19,649	21,192	20,219	23,192	22,925	19,967	271,595	
Denmark	19,513	17,462	22,773	17,599	22,272	23,994	15,195	15,307	14,353	18,542	18,070	16,512	221,592	
Estonia	2,042	1,653	2,348	2,344	2,592	2,728	2,068	2,079	1,976	2,148	2,106	1,534	25,618	
Finland	12,746	9,167	11,202	9,394	11,058	10,862	8,846	9,673	9,103	8,745	9,665	8,068	118,529	
France	153,046	161,874	226,134	171,871	191,416	230,926	147,518	107,449	170,645	176,492	180,005	193,372	2,110,748	
Germany	241,399	243,602	359,683	290,697	323,952	327,693	283,080	253,679	288,035	272,855	302,636	253,950	3,441,261	
Greece	6,460	5,192	9,445	8,452	10,666	10,141	8,421	5,134	5,947	6,306	6,523	5,396	88,083	
Hungary	6,420	8,003	9,924	8,681	10,956	10,866	9,334	8,915	9,602	10,363	12,369	10,832	116,265	
Ireland	39,003	17,089	19,890	7,841	5,992	1,400	27,707	5,729	3,897	1,943	682	159	131,332	
Italy	172,035	184,349	226,780	160,969	204,806	188,363	145,944	83,638	167,469	158,417	156,886	121,689	1,971,345	
Latvia	1,445	1,177	1,447	1,417	1,541	1,591	1,408	1,470	1,211	1,413	1,278	1,300	16,698	
Lithuania	1,827	1,639	2,049	2,257	2,350	2,672	1,769	2,084	2,488	2,314	2,422	1,965	25,836	
Luxembourg	4,108	4,042	5,191	4,864	5,535	5,206	4,529	3,429	3,968	4,670	4,389	2,844	52,775	
Netherlands	51,121	31,986	36,589	29,182	36,310	40,785	32,433	29,093	35,430	36,443	37,569	17,365	414,306	
Poland	38,232	38,508	49,606	39,582	39,801	42,012	36,902	34,584	37,212	40,572	42,510	48,072	487,593	
Portugal	15,028	18,861	25,980	18,830	23,653	24,834	17,572	11,937	14,857	15,898	17,626	17,053	222,129	
Romania1	7,059	8,302	6,915	6,640	8,062	8,030	11,335	12,001	10,425	10,036	9,311	6,967	105,083	
Slovakia	5,423	8,366	9,038	7,272	9,219	9,568	8,022	7,265	7,177	8,447	8,279	8,029	96,105	
Slovenia	5,550	4,951	6,224	5,579	5,942	6,785	4,717	4,237	4,794	5,473	5,046	3,224	62,522	
Spain	84,515	97,796	125,600	101,375	126,411	131,797	109,947	72,410	83,291	94,676	104,170	102,944	1,234,932	
Sweden	23,282	27,735	38,387	30,476	35,326	38,324	24,722	29,915	31,672	32,112	32,484	34,958	379,393	
United Kingdom	174,564	83,115	562,337	152,076	186,265	243,454	161,997	76,433	426,170	158,192	163,541	152,473	2,540,617	
EUROPEAN UNION	1,168,399	1,077,346	1,890,664	1,190,429	1,385,677	1,489,479	1,154,204	864,186	1,425,879	1,167,790	1,216,485	1,087,731	15,118,269	
Iceland	1,231	1,341	2,078	2,054	3,849	3,148	1,832	1,523	1,228	1,109	1,027	904	21,324	
Norway	13,055	11,788	13,398	11,339	14,175	14,228	11,476	13,415	13,484	12,472	13,743	16,077	158,650	
Switzerland	19,497	22,688	30,491	25,667	28,101	31,887	24,548	22,963	24,497	24,480	26,510	30,667	311,996	
EFTA	33,783	35,817	45,967	39,060	46,125	49,263	37,856	37,901	39,209	38,061	41,280	47,648	491,970	
EU + EFTA	1,202,182	1,113,163	1,936,631	1,229,489	1,431,802	1,538,742	1,192,060	902,087	1,465,088	1,205,851	1,257,765	1,135,379	15,610,239	
